date_time,elevation,temperature
2026-01-01 12:00:00,300,-1.98
2026-01-01 12:00:00,500,-2.74
2026-01-01 12:00:00,800,-8.25
2026-01-01 12:00:00,1100,-5.5
2026-01-02 12:00:00,300,2.98
2026-01-02 12:00:00,500,-2.47
2026-01-02 12:00:00,800,-9.34
2026-01-02 12:00:00,1100,-8.58
2026-01-03 12:00:00,300,2.79
2026-01-03 12:00:00,500,-2.99
2026-01-03 12:00:00,800,-7.52
2026-01-03 12:00:00,1100,-11.27
2026-01-04 12:00:00,300,-0.71
2026-01-04 12:00:00,500,-3.21
2026-01-04 12:00:00,800,-8.06
2026-01-04 12:00:00,1100,-6.14
2026-01-05 12:00:00,300,2.58
2026-01-05 12:00:00,500,-0.02
2026-01-05 12:00:00,800,-5.85
2026-01-05 12:00:00,1100,-7.16
2026-01-06 12:00:00,300,-0.46
2026-01-06 12:00:00,500,-4.87
2026-01-06 12:00:00,800,-5.19
2026-01-06 12:00:00,1100,-6.26
2026-01-07 12:00:00,300,0.96
2026-01-07 12:00:00,500,-3.32
2026-01-07 12:00:00,800,-9.29
2026-01-07 12:00:00,1100,-7.08
2026-01-08 12:00:00,300,-1.0
2026-01-08 12:00:00,500,-2.72
2026-01-08 12:00:00,800,-9.95
2026-01-08 12:00:00,1100,-5.43
2026-01-09 12:00:00,300,2.75
2026-01-09 12:00:00,500,-2.77
2026-01-09 12:00:00,800,-8.63
2026-01-09 12:00:00,1100,-11.94
2026-01-10 12:00:00,300,1.98
2026-01-10 12:00:00,500,-4.78
2026-01-10 12:00:00,800,-6.34
2026-01-10 12:00:00,1100,-10.37
2026-01-11 12:00:00,300,2.66
2026-01-11 12:00:00,500,0.68
2026-01-11 12:00:00,800,-5.78
2026-01-11 12:00:00,1100,-7.81
2026-01-12 12:00:00,300,0.76
2026-01-12 12:00:00,500,-1.27
2026-01-12 12:00:00,800,-5.27
2026-01-12 12:00:00,1100,-8.91
2026-01-13 12:00:00,300,1.37
2026-01-13 12:00:00,500,-0.66
2026-01-13 12:00:00,800,-8.57
2026-01-13 12:00:00,1100,-10.54
2026-01-14 12:00:00,300,-0.78
2026-01-14 12:00:00,500,-4.87
2026-01-14 12:00:00,800,-2.51
2026-01-14 12:00:00,1100,-10.41
2026-01-15 12:00:00,300,1.76
2026-01-15 12:00:00,500,-4.97
2026-01-15 12:00:00,800,-5.06
2026-01-15 12:00:00,1100,-7.26
2026-01-16 12:00:00,300,2.32
2026-01-16 12:00:00,500,-3.48
2026-01-16 12:00:00,800,-2.99
2026-01-16 12:00:00,1100,-9.41
2026-01-17 12:00:00,300,-0.15
2026-01-17 12:00:00,500,-3.96
2026-01-17 12:00:00,800,-5.87
2026-01-17 12:00:00,1100,-10.98
2026-01-18 12:00:00,300,1.15
2026-01-18 12:00:00,500,-4.04
2026-01-18 12:00:00,800,-4.32
2026-01-18 12:00:00,1100,-11.1
2026-01-19 12:00:00,300,-0.14
2026-01-19 12:00:00,500,-1.53
2026-01-19 12:00:00,800,-5.13
2026-01-19 12:00:00,1100,-11.34
2026-01-20 12:00:00,300,0.36
2026-01-20 12:00:00,500,0.45
2026-01-20 12:00:00,800,-4.42
2026-01-20 12:00:00,1100,-5.52
2026-01-21 12:00:00,300,1.41
2026-01-21 12:00:00,500,-2.17
2026-01-21 12:00:00,800,-4.49
2026-01-21 12:00:00,1100,-5.46
2026-01-22 12:00:00,300,0.14
2026-01-22 12:00:00,500,0.3
2026-01-22 12:00:00,800,-3.71
2026-01-22 12:00:00,1100,-11.88
2026-01-23 12:00:00,300,1.32
2026-01-23 12:00:00,500,-3.65
2026-01-23 12:00:00,800,-8.82
2026-01-23 12:00:00,1100,-8.96
2026-01-24 12:00:00,300,1.71
2026-01-24 12:00:00,500,-2.74
2026-01-24 12:00:00,800,-2.75
2026-01-24 12:00:00,1100,-10.11
2026-01-25 12:00:00,300,-1.15
2026-01-25 12:00:00,500,-2.81
2026-01-25 12:00:00,800,-4.49
2026-01-25 12:00:00,1100,-10.84
2026-01-26 12:00:00,300,-1.76
2026-01-26 12:00:00,500,-2.6
2026-01-26 12:00:00,800,-6.02
2026-01-26 12:00:00,1100,-10.59
2026-01-27 12:00:00,300,0.06
2026-01-27 12:00:00,500,0.91
2026-01-27 12:00:00,800,-8.87
2026-01-27 12:00:00,1100,-7.81
2026-01-28 12:00:00,300,0.06
2026-01-28 12:00:00,500,-4.29
2026-01-28 12:00:00,800,-5.7
2026-01-28 12:00:00,1100,-11.43
2026-01-29 12:00:00,300,-1.66
2026-01-29 12:00:00,500,-1.88
2026-01-29 12:00:00,800,-5.69
2026-01-29 12:00:00,1100,-9.5
2026-01-30 12:00:00,300,2.21
2026-01-30 12:00:00,500,-3.19
2026-01-30 12:00:00,800,-9.82
2026-01-30 12:00:00,1100,-8.08
2026-01-31 12:00:00,300,0.48
2026-01-31 12:00:00,500,-3.04
2026-01-31 12:00:00,800,-3.58
2026-01-31 12:00:00,1100,-5.8
2026-02-01 12:00:00,300,1.8
2026-02-01 12:00:00,500,-1.79
2026-02-01 12:00:00,800,-5.51
2026-02-01 12:00:00,1100,-9.63
2026-02-02 12:00:00,300,-0.26
2026-02-02 12:00:00,500,-4.33
2026-02-02 12:00:00,800,-2.48
2026-02-02 12:00:00,1100,-10.14
2026-02-03 12:00:00,300,-0.8
2026-02-03 12:00:00,500,-3.98
2026-02-03 12:00:00,800,-7.45
2026-02-03 12:00:00,1100,-11.67
2026-02-04 12:00:00,300,1.43
2026-02-04 12:00:00,500,-2.77
2026-02-04 12:00:00,800,-9.78
2026-02-04 12:00:00,1100,-6.86
2026-02-05 12:00:00,300,0.02
2026-02-05 12:00:00,500,-2.09
2026-02-05 12:00:00,800,-7.96
2026-02-05 12:00:00,1100,-6.43
2026-02-06 12:00:00,300,-0.08
2026-02-06 12:00:00,500,-0.09
2026-02-06 12:00:00,800,-8.0
2026-02-06 12:00:00,1100,-5.64
2026-02-07 12:00:00,300,-1.26
2026-02-07 12:00:00,500,0.66
2026-02-07 12:00:00,800,-3.74
2026-02-07 12:00:00,1100,-9.57
2026-02-08 12:00:00,300,1.57
2026-02-08 12:00:00,500,-4.23
2026-02-08 12:00:00,800,-7.42
2026-02-08 12:00:00,1100,-8.79
2026-02-09 12:00:00,300,0.96
2026-02-09 12:00:00,500,0.69
2026-02-09 12:00:00,800,-5.73
2026-02-09 12:00:00,1100,-5.39
2026-02-10 12:00:00,300,-1.05
2026-02-10 12:00:00,500,-4.34
2026-02-10 12:00:00,800,-7.14
2026-02-10 12:00:00,1100,-7.86
2026-02-11 12:00:00,300,2.02
2026-02-11 12:00:00,500,-0.3
2026-02-11 12:00:00,800,-2.67
2026-02-11 12:00:00,1100,-6.64
2026-02-12 12:00:00,300,2.77
2026-02-12 12:00:00,500,0.73
2026-02-12 12:00:00,800,-9.34
2026-02-12 12:00:00,1100,-6.28
2026-02-13 12:00:00,300,0.61
2026-02-13 12:00:00,500,-3.09
2026-02-13 12:00:00,800,-3.27
2026-02-13 12:00:00,1100,-9.08
2026-02-14 12:00:00,300,0.26
2026-02-14 12:00:00,500,-2.89
2026-02-14 12:00:00,800,-7.56
2026-02-14 12:00:00,1100,-11.64
2026-02-15 12:00:00,300,0.21
2026-02-15 12:00:00,500,0.7
2026-02-15 12:00:00,800,-9.26
2026-02-15 12:00:00,1100,-8.37
2026-02-16 12:00:00,300,-0.24
2026-02-16 12:00:00,500,-3.62
2026-02-16 12:00:00,800,-5.73
2026-02-16 12:00:00,1100,-6.77
2026-02-17 12:00:00,300,2.91
2026-02-17 12:00:00,500,-1.19
2026-02-17 12:00:00,800,-9.11
2026-02-17 12:00:00,1100,-7.94
2026-02-18 12:00:00,300,-0.8
2026-02-18 12:00:00,500,-3.63
2026-02-18 12:00:00,800,-3.04
2026-02-18 12:00:00,1100,-7.6
2026-02-19 12:00:00,300,2.37
2026-02-19 12:00:00,500,-4.48
2026-02-19 12:00:00,800,-7.05
2026-02-19 12:00:00,1100,-8.49
2026-02-20 12:00:00,300,-0.0
2026-02-20 12:00:00,500,-3.05
2026-02-20 12:00:00,800,-2.57
2026-02-20 12:00:00,1100,-11.06
2026-02-21 12:00:00,300,-0.32
2026-02-21 12:00:00,500,-0.43
2026-02-21 12:00:00,800,-5.03
2026-02-21 12:00:00,1100,-10.79
2026-02-22 12:00:00,300,-0.94
2026-02-22 12:00:00,500,-4.7
2026-02-22 12:00:00,800,-7.0
2026-02-22 12:00:00,1100,-9.85
2026-02-23 12:00:00,300,-0.24
2026-02-23 12:00:00,500,-0.45
2026-02-23 12:00:00,800,-4.73
2026-02-23 12:00:00,1100,-5.33
2026-02-24 12:00:00,300,-1.0
2026-02-24 12:00:00,500,-3.09
2026-02-24 12:00:00,800,-5.26
2026-02-24 12:00:00,1100,-10.67
2026-02-25 12:00:00,300,-1.71
2026-02-25 12:00:00,500,-3.18
2026-02-25 12:00:00,800,-8.61
